condicion_iva,tipo_doc,num_doc,concepto,precio,iva,dirección
responsable inscripto,CUIT,30715333348,INTERMEDIACIÓN DE SERVICIOS TURISTICOS PARA EVENTOS CORPORATIVOS - MAYO 2026,9732572,exento,-
responsable inscripto,CUIT,30715333348,INTERMEDIACIÓN DE SERVICIOS HOTELEROS PARA EVENTOS CORPORATIVOS - MAYO 2026,9793160,exento,
responsable inscripto,CUIT,30715333348,EMISIÓN DE PASAJES AÉREOS INTERNACIONALES - MAYO 2026,8971808,exento,-
responsable inscripto,CUIT,30715333348,EMISIÓN DE PASAJES AÉREOS INTERNACIONALES - MAYO 2026,8900955,exento,-
responsable inscripto,CUIT,30715333348,INTERMEDIACIÓN DE SERVICIOS HOTELEROS INTERNACIONALES - MAYO 2026,9344384,exento,-
responsable inscripto,CUIT,30715333348,INTERMEDIACIÓN DE SERVICIOS HOTELEROS INTERNACIONALES - MAYO 2026,9693880,exento,-
responsable inscripto,CUIT,30715333348,INTERMEDIACIÓN DE SERVICIOS TURÍSTICOS - MAYO 2026,400213,21%,-
responsable inscripto,CUIT,30710653220,INTERMEDIACIÓN DE SERVICIOS TURISTICOS PARA EVENTOS CORPORATIVOS - MAYO 2026,10113142,exento,-
responsable inscripto,CUIT,30710653220,INTERMEDIACIÓN DE SERVICIOS HOTELEROS PARA EVENTOS CORPORATIVOS - MAYO 2026,8561329,exento,-
responsable inscripto,CUIT,30710653220,EMISIÓN DE PASAJES AÉREOS INTERNACIONALES - MAYO 2026,10189290,exento,-
responsable inscripto,CUIT,30710653220,EMISIÓN DE PASAJES AÉREOS INTERNACIONALES - MAYO 2026,8511911,exento,-
responsable inscripto,CUIT,30710653220,INTERMEDIACIÓN DE SERVICIOS HOTELEROS INTERNACIONALES - MAYO 2026,9979157,exento,-
responsable inscripto,CUIT,30710653220,INTERMEDIACIÓN DE SERVICIOS HOTELEROS INTERNACIONALES - MAYO 2026,9773019,exento,-
responsable inscripto,CUIT,30710653220,INTERMEDIACIÓN DE SERVICIOS TURÍSTICOS - MAYO 2026 ,402157,21%,-
